10	-0.601	0.014	-0.795	-0.224	0.048	0.183	0.025	0.186	-0.075	-1.506	-0.12	-0.378	-0.425	-0.36	0.092	-0.542	0.616	-0.126
11	-0.516	0.062	-0.215	-0.181	0.124	-0.953	-0.139	0.232	-0.46	-5.695	-0.171	0.086	-1.602	-0.17	-1.017	-0.274	0.72	-0.276
15	-0.964	-1.528	-2.36	-0.71	-1.941	-1.738	-1.526	-1.434	-1.306	-2.507	-1.238	-1.656	-2.015	-1.764	-1.963	-1.723	-1.223	-1.695
19	0.407	0.556	-0.052	0.214	0.681	0.509	0.742	0.264	-0.274	-0.899	0.448	0.078	0.331	0.609	0.278	0.032	0.598	-0.05
22	-0.502	-1.196	-1.767	-0.322	-0.711	-0.514	-1.113	-1.511	-1.338	-1.382	-1.34	-1.211	-1.674	-1.145	-0.649	-1.843	-1.525	-1.645
23	3.683	1.015	0.613	1.899	0.648	1.299	1.763	1.518	0.871	1.567	1.409	0.068	3.57	0.824	0.861	1.428	1.534	1.014
24	-0.506	-0.459	0.122	-0.3	0.839	-0.757	-0.594	0.119	-0.569	-0.372	-0.071	0.331	-1.533	-0.031	-0.688	-1.156	-0.535	-0.775
26	-0.346	-0.727	-1.68	-0.239	-0.899	-0.511	-0.851	-0.627	-0.65	-1.915	-0.733	-0.653	-1.304	-0.632	-0.566	-1.294	-0.099	-1.338
29	0.166	-0.23	-0.157	-0.084	-0.157	-0.084	0.001	0.61	0.169	0.35	0.242	0.077	-0.72	0.511	0.009	-0.321	1.425	0.208
35	0.198	0.1	0.126	-0.061	-1.211	0.068	-0.887	-0.186	-0.796	-0.421	-0.632	0.374	-0.326	-0.766	-0.07	-1.012	0.566	-0.671
36	0.523	-0.722	0.869	0.393	0.442	0.282	0.508	0.277	0.256	0.455	-0.561	0.158	0.301	0.692	0.236	-0.009	0.916	-0.102
37	0.272	0.045	0.377	0.809	0.738	0.865	-0.308	-0.136	0.099	-1.566	0.044	0.595	0.059	0.569	0.714	-0.403	0.419	-0.196
38	0.953	0.622	1.187	0.266	0.965	2.01	0.448	0.582	0.58	-5.825	0.616	1.417	0.276	2	1.75	-0.558	1.012	0.213
41	0.728	-0.757	-0.638	0.217	0.832	0.674	0.529	0.114	0.787	0.533	2.014	-0.281	-1.048	0.537	0.38	-0.27	0.29	0.048
53	-0.73	-0.783	-1.536	-0.363	-0.856	-0.55	-0.917	-0.368	-0.978	-2.492	-0.528	-0.547	-1.177	-0.805	-0.442	-1.513	0.149	-1.036
54	0.182	-0.372	-0.595	0.527	0.309	1.614	-0.188	0.215	0.232	-0.342	-0.058	-0.04	0.308	0.768	1.689	-0.466	0.599	-0.127
57	-0.143	0.028	-0.125	-0.213	-0.233	0.486	-0.884	-0.102	-0.211	-0.104	-0.572	0.375	-0.316	0.193	0.436	-0.524	0.457	0.141
58	0.799	0.144	0.436	0.275	0.054	0.577	0.005	0.297	0.375	-1.167	-0.027	0.483	-2.431	0.495	0.269	-0.376	0.583	0.268
59	0.464	-0.229	-0.475	0.317	0.372	0.313	0.44	-0.011	-0.112	-0.343	-0.357	-0.211	-0.219	-0.046	0.297	-0.591	0.361	-0.296
61	0.2	-0.012	0.326	0.1	0.177	0.424	0.188	0.177	-0.096	0.045	0.193	0.486	-0.133	0.207	0.311	0.172	-0.02	-0.598
62	0.344	0.323	-0.177	0.591	-0.225	-0.354	-0.399	-0.214	-0.885	0.372	-0.091	0.37	1.082	-0.312	-0.494	-0.236	0.447	-0.817
65	0.111	-0.387	0.194	0.15	-0.406	0.206	-0.308	-0.892	-0.401	-1.956	-0.773	-0.118	-0.996	-0.351	0.422	-0.916	-0.28	-0.224
66	-0.14	-0.251	-0.428	-0.24	-0.271	-0.502	-0.704	-0.063	-0.904	-5.641	0.024	0.433	-1.054	-0.427	-0.71	-0.841	0.117	-1.187
67	-0.295	2.44	-0.751	-1.134	-0.266	1.314	0.095	0.769	0.557	-1.998	2.931	0.26	-2.416	0.937	1.278	-0.514	0.825	0.827
68	-0.226	0.106	0.868	0.123	0.796	0.162	0.408	0.412	-0.166	-1.241	0.366	0.639	0.154	0.723	0.255	-0.002	0.506	-0.176
70	0.378	-0.202	0.589	-0.103	0.719	-0.069	0.022	-0.342	0.178	4.066	1.044	0.59	-7.507	0.406	0.249	0.805	0.582	-0.13
71	0.107	0.164	0.632	0.313	0.126	0.682	-0.511	0.249	0.017	-0.021	0.247	0.511	-0.976	-0.04	0.329	-0.887	0.361	-0.246
72	0.59	0.37	0.319	0.861	1.187	1.106	-0.384	-0.126	1.167	0.434	0.466	0.586	1.255	0.521	1.121	-0.443	0.551	0.785
79	-0.516	-1.076	-1.653	-0.624	-0.985	-0.846	-1.355	-0.419	-1.022	-2.118	-0.681	-1.174	-1.956	-0.634	-0.652	-2.051	-0.114	-1.327
80	0.118	-1.438	-1.369	-0.399	-0.944	-0.931	-1.197	-1.323	-0.777	-0.688	-1.069	-0.476	-0.353	-0.991	-0.809	-1.158	-0.89	-1.01
81	-0.766	-1.216	-0.959	-0.49	-1.051	0.315	-0.732	-0.957	-0.69	-1.447	-0.714	-0.306	-2.109	-0.118	0.63	-1.195	-0.392	0.406
82	0.211	0.401	-0.479	0.6	0.777	0.561	0.132	-0.072	0.478	-0.385	0.564	0.385	0.067	0.42	0.611	0.278	0.451	0.565
83	-1.495	-0.765	-1.333	0.182	-0.697	-2.304	-0.305	-0.088	-0.543	-2.063	-0.813	-0.219	-1.213	-0.59	-1.886	-0.279	0.567	-0.468
84	-0.188	-0.835	0.229	-0.02	0.114	0.012	0.67	-0.044	-0.957	-0.81	0.165	0.362	-0.638	0.055	-0.405	0.174	0.485	-0.945
91	0.52	0.803	0.011	0.067	0.448	0.793	0.415	0.098	0.044	-0.123	-0.046	-0.53	-0.187	0.303	0.597	-0.058	0.252	0.432
94	0.075	0.748	0.884	0.784	0.494	1.048	0.954	0.398	0.901	1	1.564	0.593	0.207	0.735	0.431	1.151	1.181	0.731
